sentiment,txt
1,"dear haley, i can't. I gots my church "
1,Stupid back robbery in Vancouver is keeping our news cameras away.  #webraising
1,"panic jobs, people off sick and its only 11am "
1,i feel sick 2 my stomach .. litteraly 
1,there's a blackout [&amp;] my phonez dyinq im scared phillyyy 
1,Is wishing she had more babysitting people.. it suxs only having one and is always being used.. 
1,Noooo! Robeks in palm desert is closed! 
1,I really wish the CMT awards were on TV in England  
1,@xyurii me neither  screw it. Senioritis 4ever! Haha
1,Worst two days of my life? I fucked up so badly w/ Jordan. I regret everything 
1,@Area224 I can relate...I had a guard because I clench my jaw...still do...I have to remind myself not to do it.  I fail.    lol!
1,I hate that Kristen went home  I'm reallllllllll sad
1,"@is_selene: Awww, I miss you dear!!!  ilysmmmmmmm!!! &lt;3"
1,On the Today show it said Google Voice is available now...... but its not...   ....Maybe it will be available later today... anyone know?
1,@HeathE2003 this is my new account  when i logged into the other it said I didnt exist.  Sad.
1,@lawrencebrown  must be a sign you need a holiday !
1,i miss my long hair  i guess that's what you feel after every haircut...
1,sumfin wrong with the tummy 
1,Ooowwww! FFS. That's four times now i've bitten the inside of my mouth *hard* in two days! Both cheeks &amp; bottom lip twice in same spot. 
1,my friend just told me i reminded her of Whoppie Goldberg... 
1,46 tweets last night. Dayum. Aaron was in my fucking dream again. 
1,I love trauma shows. i wish i was in medical school to be a trauma surgeon 
1,@rahmasing Look what I found! But for $5 USD!  http://twitpic.com/87rr3
1,Microwavable fried rice is never as good as what you get from the restaurant 
1,organizing a million music books. so many paper cuts.. 
1,@absolutelytrue  #nightshift I'm still working  luckily having fun with it. I can turn the music up when no one else is in the office. yay
1,@HeyItsHailey i have to goo 
1,my twitter sucks. lame lame lame. 
1,@jacqQquieee No it's just a pet peeve. 
1,@logicattraction @Sean_T_Wright sadly it refuses to play on my iPhone 
1,"All you had to do Broady was keep the ball in your hand, but you didnt "
1,ok.. i have a little hang over. my head hurts..  
1,@rendons5 Thanks Dawn.  My heart breaks for the little guy. 
1,@vivienturman it sucks that your birthday sucks/ed. i remembered no joke but i wasnt around to say happy birthday. im really really sorry 
1,rainy day   sick all night...slept on bathroom floor....it is tile so it was nice &amp; cold helped a little...hopefully start feeling better
1,So the peeps were convincing me 2 go 2 Qba's tonight but it s already 10 &amp; I won't make it before 11 so i'm not 
1,"@C_Boisvert I'm still feeling kind of sick, and I'm going to take the rest of the night to recover. sorry  Maybe this weekend?"
1,sunburnt...and oh sooooooo tired. its almost 6 and i ave nothing to do tonight. i need to get out 
1,@backstreetboys MÃ©xico miss you too!!!  
1,"@emitts is finished and silky - I'm still under the dryer, "
1,omg so sad to be home in TO again   Missing vitamin R and of course the beach and sunshine!!
1,Kool aid is not a nice drink 
1,how is it that these other feez twitt u n u respond but wen i do u dont? @bobbybkdreams :-/ so sad now 
1,I'm getting braces july 8th  any1 have any tips 4 me?
1,@MegganAnn same here!! don't know where you are but east coast is miserable 
1,Ohh man i wish i had sky sport so i could watch the rugby and league! 
1,@keeda I doubt i could pull either off! Now there is only mischief in these eyes 
1,@iamdiddy when do i get &quot;locked in?&quot; ...... discrimination 
1,@cbain84 not started yet no  was good seeing ya today
1,n bed wide awake! Again! 
1,Nose piercing has already closed up 
1,oh no! Margret has quit the apprentice! 
1,@DianaBaldwin Tried to click the link on your profile but it doesnt seem to work 
1,"@Hayles17 I could cry right now. It's not his fault I suppose, but I just feel like a walking cash machine "
1,@angeliatay the weather is just awesome for that lah!!! 
1,"I'm off the injured list!! Boxing on Wednesday, getting up at 5am is gunna suck but it'll be the last month for a long time "
1,@margaritanati u didnt say bye 
1,@sh0rtee txt me 
1,@mattdevs i wrote a 14 pg paper on it this year haha. the sad thing is i never got to finish reading it 
1,...why another exam!! ...revision tommorow!...so bedtime now  BAD TIMES!...see you when i give up on revision! NIGHT xx
1,happy fathers day to the dad i never knew...  lol
1,@HoustonGran You mean Mr Merton? I'm trying to but having a bit of a blog-block atm 
1,no more fuzzy haydo and higgo 
1,"i can't find any anywhere,my parents said they would pay for it as my b-day prezzie,and it just so happens that theres none left..grrr  "
1,@lil_feisty i don't think i'll make it only cuz There's a shit load of traffic 
1,all day i have thought about sleep i was so tired now i finally make it to bed and i am wide awake 
1,"@scrivener wish I could go. Gotta fix a network, blog, prep for early weekend rides, and do reports "
1,"@ErictheAzn Aww, what's wrong? "
1,I feel like I am spamming twitter.  So not cool 
1,I hate it when I dont get my own way....time to pout 
1,"What a night...$450 dollars later, got my car back "
1,@evilgordon bean bag and beer.......jealous!! M62 and M60 for me shortly 
1,"@katluvschocolat Oh no! He needs to be present to win? Dammit, even though I'm on the ballot too, that sucks for you guys! "
1,Woke up not feeling good at all. Looks like I'm staying home today 
1,i miss @jessi_lopez and @veramissy!!!  i miss you guys .. xoxo
1,@rmalpass I'm doing work... and I'm inside  I wish I had a laptop!
1,"totally just stalked @mannygarcia 's blogtv ... promise im not a creeper  , but good job ! !"
1,Soo tired.. but I'm getting more fillings in 45 min. 
1,Ugh...my headache hasn't gone away all day.  
1,"lost dem car keys, but found them at the lost &amp; found ... which i can't get into because it's locked "
1,"@SarahStewart thanks! Yeah right now I'm livin on adreneline, and starbucks. Sleep would be nice. Still w/out room. "
1,@DarthAngelus what tweet was meant for me? ~puzzled~ I can't see anything - not even on your page 
1,"@mattedmondson Nice one Matt - as they say up north, where i am unfortunately "
1,"Wow, IGN's live feed of E3 is really laggy...   Switched over to G4's live feed."
1,@MuddyTheFox aww  but typing from beyond the grave...impressive
1,Just made an offer to the joker who bought my domain name YEARS ago and never did anything with it. I bet he refuses my offer 
1,@vprincess I don't. 
1,"@fartingpen ah, The AC ain't working here! apparently a battery blew up! *rolls eyes* so now the genrator is on and no AC "
1,@orangevixen you and i both. 
1,i only hav 8 followers                 !
1,The Americans are hiding from me 
1,we are sucking big time. 
1,Hmm Still can't sleep. This is frustrating i have to get up in 3 hours  maybe i had to much sugar
1,Work work work 
1,I need my best friends 
1,@TheMandyMoore I know my left eye just started hurting out of nowhere 
1,"Monday... So much on my head, most of it not good stuff. F***, I hate having my hands tied "
1,"@filiber Hi! Should fine all the info here: http://u.nu/2t2d + http://u.nu/8t2d + , it happened last month, but has happened again "
1,"Peopleee, please let me sleep "
1,"Loved transformers! I'm tired now, but i can't sleep. "
1,just formatted the friggin memory card nooooooooooooo 
1,Cannot sleep... Again! 
1,I'm allowed go home early - sweet! Have to do SOME work first though 
1,@louisecrichton it's raining here too.. and it's freezing.  where did the sun go?!
1,saw Drag Me To Hell: eyes were closed most of the time. just been very very disappointed and trying to cheer up 
1,@moonfrye i had my ultrasound and they saw a sac and yolk sac but no baby..please pray that it was too early to see baby 
1,"according to facebook, @angepessolano only knows me 50%... "
1,"@litlchef182 college day today,yuk. Going to the library after lunch though. I'm so bored right now "
1,@raynghm Ar Ray! patent matters! 
1,@KilikaCouture how 'bout 11 herbs &amp; spices of KFC to go with those 23 flavors of DP? Damn... Now I'm hungry. 
1,Moved grandpa outside today to get some sun. I hope vote me the dogs lift their leg on him 
1,worst test ever ....so sad 
1,@steveportigal I repost w/o attribution frequently b/c it sits in a tab for a while and i forget where i saw it. 
1,all my tweets have #squarespace and i still haven't won an iphone 
1,This has been a horrible day 
1,1 hr to go for lunch break ... Feeling damn hungry 
1,@canhasnameplz so far 360 exclusive 
1,@gylesONESHOW hey Gyles  I am so very new here I am still lost   WIll you be my friend on here please??  You are fantastic on countdown! x
1,@1outside and no tweeting or bliping there either 
1,back in wilkes-barre. plus lots of flowers. minus boyfriend 
1,@pattyransom im goin on holiday tonight  i tried to control it (if u get me) but its not worked! men are the enemy today! gggrrr!!!
1,@kennyperera yes basically 
1,@bexudoce awww he's soo cute! I was supposed to be there!! 
1,And now it's too dark to read 
1,wants to sleep so badly...  
1,Looking for a new hair style! I just don't have the patience to grow my hair long!! 
1,..STILLL SAAD..MAAD..haven mixed emotions..  I REEAALLY dont wanna leave my pplz. I LOVEE YOU GUYS  &lt;3
1,Twitter keeps freezing up on me  #mmwanted
1,@enki09 My iPhone pulled me out of the muck.  My Tomtom is in another state 
1,@emily0418 http://twitpic.com/4hl5l - AWWWWWWWWWWWWWWWWWWWWWWWW 
1,"Woke up with my killing  Oh well, I finally got my shoes for prom that took about 2 months to find!"
1,@itskimpossible Keane song playing at work.  Bad visions in my head. 
1,...is still in the office babysitting the stupid printer.  WHY'D U JUZ HAFTA ADJUST YOUR DAMN GRADATION AT THIS TIME??? 
1,@sofiesunshine LMFAOOO 'oh mersyside is full of shit' typical man utd fans!! :') i miss thisss! 
1,@AgesTheGreat UGH! &amp; DiDNT HiT ME UP? OK  LOL JK. WHAT WERE U DOiN HERE?
1, noooo it doesnt work w/ iPods! i rly wanted unlimited music for $15 a month!
1,"sitting, Listening to some Amy whinehouse, thinking of the life I could have been happy with and whats next,  i really liked him"
1,curiousity on @donipriliandi 's goyangan...i miss sns  too bad!
1,"Back at work after 4 days off, dont want to work "
1,@xoAdrianne how am i gonna find you downtown? 
1,"@Bitty_loves_you I know, but they're playing a show right now in London and they're not even stopping in Dublin   its not fair "
1,"@yelyahwilliams Haaaayley, i saw some pictures from the tour, you're so pretty *-* i wanted to see u guys again "
1,really sad that my iPod is at it's capacity 
1,I think I'm getting sick.  
1,@MissDibbs aww...im sorry  Paris is coming...
1,i think that @taylorswift13 is the best person ever. and even though i can't get much better out of my head..i HATE the song. 
1,@AllisonBalliet no it was awesome i blogged it. im trying to fall asleep i didnt sleep last night  not coming along very well
1,Hanging around the house today.  Then off to the dentist.  
1,"@jdt367 Yeah, but she's not in the latest film "
1,Mummy was great as usual but lacking all effects  and why are all these kids from DC here???
1,@alexalltimelow BUT I just made an account and discovered I had a web cam!  good night then. Reply? Anyway have fun.
1,my godfather http://bit.ly/3h63x  he did not deserve this 
1,"@TCGO1974 Damn, i would go but my parents won't let me "
1,Mom is in the crystal palace tonight 
1,"@thesournurse if it continues, he really should get that seen about ..I'm sorry he hurts "
1,Curbed the car! Alloy refurb ï¿½100 new tyre ï¿½380 plus vat.  Great 
1,@miss_dumpling i know the feeling 
1,"@urbansmiler Of course.  I was just trying to convince you of how much I hate running, but I know I need to do it.  "
1,There are so many tests in school 
1,@JessiCaCa i've been running nonstop the past couple of weeks. it's starting to show on my face  total bags! but it's gonna be FUN!!!!
1,@BetsyHaffner sucks to be us -- and not in a good way  brewing &quot;decaf&quot; right now. not sure why.
1,Hmmmmm........ Bored &amp; Hungry !!! Nt a gd combiation  x
1,"hope 'seizures' is better than 'generation why' - c'mon kisschasy. ps - thought i was having a bad day, then bad news made it even worse "
1,all i need is the bride's approval and this program is good to go. in other news i have killllller heartburn and no tums 
1,studying FINALS  BUT 1 WEEK TO GO
1,I over-seasoned the potatoes 
1,"im sitting at home, eating durian while doing my malay homework and at the same time people are sacrificing their lives in iran. "
1,"off schoold today, dont feel too good tbh  rather bored thow lol's"
1,Have to get some sleep eventually..have a funeral to go to tomorrow     maybe that is why I can't sleep... Peace All !
1,I feel like Im 5 again...In bed w/Tasha bc the power just went out bc of the storm &amp;&amp; I'm so effen scared!!! I hate lightening! 
1,Survived the train station. WIPED OUT... may not survive the ride home 
1,@danceoffmychest schools out dude!! dam! wish I could go on sunday  won't be able to see you guys till the 5th! will you be there?
1,still doin ma CW  wats any1 else doin??
1,"where are all ma bestfriends at ? , MIA or wat ? "
1,ok? not a lot to say  Im not liking this weather!!! its too hot. 12 degrees is perfect not 20 something! grrhhh
1,damn it. i miss mr. tootie so badly. tsk! 
1,@mrskutcher just checked library website and girl with dragon tattoo is checked out  
1,"Online Chess sucks, I keep losing "
1,Oh the joys and wonder of ISU's 
1,"Ugh, I have to be up in four hours to be ready to leave at 7:30am for my 8 hours classroom instruction for driver's ed "
1,stupid musiqtone....i cant vote anymore 
1,its 77 degrees out in NYC and I'm here at work 
1,"today sucks =\ crappy weather, no plans &amp; feel like complete crap "
1,"Im having a pity party......  , invite only. "
1,"@noonnoon wow! yam cha, i wish i could do the same but it's just me here... "
1,long day with microsoft is my nightmare 
1,"Just finished logging in all of my CEU hours.  13 done, 62 yet to go "
1,@miss_flora haha! I'm still awake. Girl why you up so early  I'm writing 2 final papers for my polisci class due at 1:30! and I'm doneee
1,It's very busy 
1,"it doesnt stop there either, u will find tears at his other grads too. wait til high school  that one will bring some wetnesx."
1,"how does it know to rain just when I have to collect the girls from school, soaked again "
1,"@colombiancoffee not sure. I have a car situation, so my morning routine is screwy. "
1,"@SophieEggleton I sympathise, I miss LA like crazy "
1,@dubfire_scitec Apple's servers are overloaded 
1,gabe is hungry  i was right about arnold!
1,"@AngryBadgerGirl I'm sitting on my couch/bed &amp; looking that this light bulb I need to change, but it's high up &amp; I'm wee. "
1,Took a short nap now Im ready for work. My sun burn hurts 
1,@glamtweets  I love them! I do NOT love that they are sold out in my size 
1,i miss my cats 
1,Dance party with liz and aly. But liz is leaving 
1,Thanks for noticing... 
1,@ohheyitskristen  I know right! too far awaaay to make plans!! I wish I'd known we had the same music interest back in high school 
1,i don't know what happen.. 
1,"@andyclemmensen me too  I voted for him soo much, p.s. can't wait till midnight, the suspense is killer tho "
1,Up  Driving my mom to work.
1,@catrific I'm having 1 of those days 2 &amp; I hate it 
1,Captain's Log: 5am- Still awake... 
1,I want my mom's sambal pusu 
1,"@neggii um, too many people - not enough sales. So we didn't make our quota "
1,is missing her family 
1,@xosabrinaaa   im sadly addicted to celeb gossip .. real of fake. aw 
1,@angelacatherine has kidnapped le iphone and is updating twitter. 
1,"Just made a felt Cornish pasty: http://www.twitpic.com/7x6g5 And now my work here is done, I'm off to play Sims 3 'til it crashes. "
1,loves the sun but the sun doesnt love me 
1,"Staying in tonight, watching The Professional.  Big week coming up, last one in L.A. "
1,@xxAshleyLvsYou I don't know. 
1,"@headfirstfor IHSAEHIHAEIUHE oks, nossa. "
1,@dalecruse I must also say that it wasent the same without you 
1,"@PerezHilton wow thats a little bit much 4 a kid  but then again miley did do that naked vanity fair photoshoot, guess it runs in the fam"
1,"@englishstudio no, sorry, i donÂ´t know if Pearson, Longman, or OUP or CUP ELT have a Twitter account "
1,my eyes are tired 
1,Time to leave for cooking lessons at my uncles! Steak tonight! Looks like I'm just going to miss Patrick getting home from work. 
1,@KellieBach I want chocolate covered strawberries u bitch!! U held out till I left  u melted the dark didn't u urghhhhh!!!!!!  I miss u!!
1,"Ã¤h, it's raining 8&lt; AGAIN. Can't believe this. "
1,I'm in clear lake 
1,@LucyGuy1 Not bad but not good  yourself?
1,@ddlovato i was supposed to fly out for it  but i have an exam  so my parents sold my ticket  i was heartbroken  good luck though! x
1,@kaylafancypants nothing really lol you have to remove you vids ?  
1,"@Pinksinger Awwwww, Pink, I hope you feel better!!!   I'm sorry you're not feeling well!!"
1,@gdmpwm1 whys that? work reasons? 
1,Up at stupid o'clock to take the parents to the airport. 
1,@SteffNasty and he's a dude id always look to for real rnb.. even he's goin pop now! 
1,"@SarahMunster no!! brendon is the detective! and sadly no, he doesn't "
1,Wish they had this here in my country  http://bit.ly/uzbMQ
1,did dishes and washed tabletops. I personnaly hate it when I'm using a spray bottle of cleaner and the sprayer doesn't work. 
1,How to look like a complete fanny  http://twitpic.com/8cyau
1,"My nose is chapped, yuck "
1,bah! on my way to a family reunion thing  gonna die of boredom and annoyance.
1,"half term, awesome stuff! but its so cold! "
1,I wish snl and the office were on every single day of the year. I dont want to wait months for new episodes 
1,@BendyyStrawz nobody is tweeting  im leaving though haha
1,This is not fair... bath again.... 
1,@CandiceKei  I have no clue    It wouldn't turn on this morning and then it finally said system recovery and then bam everything gone.
1,@Jason_Manford You look rather svelt in that pic! Not that you're not normally but you know.....I'm going to stop digging my hole now 
1,@itscalum010 you really are having a bad day  awhh!!!
1,"Trapped in the office till 130am, no new Acp For 50+hrs "
1,"fantastic week off, chilling with the boys, bobbing around on Loch Ness, catching up with friends. Don't want to go to work tomorrow "
1,@jenrose28 Not all of Wilmington   Have fun though!
1,@lilyroseallen go get an allergy test. they wipe peanut butter on you &amp; stuff. ranque-er. i'm allergic to chocolate 
1,"@iamdez Haha, you? Well, I knew it must be an engineer. And sadly, my 500MB/month cap means no youtube "
1,"@darth_mall yeah, has gotten worse all day, now I think it's gout "
1,"Man, &quot;Biopharmaceutical&quot; is in the trending topics? The terrorist have won. "
1,@thebeatreview i think it's because of their utterly amazing concerts. the saturdays are stuck at38 and SEB not even top 20 
1,@Flesheater what happened to @sodarnhappy? where did she go? 
1,@pauloricleite i never got that page  haven't downloaded anything from it 
1,"Monday, ain't even started yet and I'm dead. Why did I agree to work a full week! "
1,just finished talking to alicia&lt;3  ugh.. school tomorrow. i thought it was minimum day 
1,@myria101 Melly Beans lol...You are going to be fine...it's me that will have withdrawals 
1,Wow. This computer is slow. 
